phylum;class;order;family;genus;species
Arthropoda;Insecta;Lepidoptera;Sphingidae;Eumorpha;Eumorpha vitis
Arthropoda;Insecta;Lepidoptera;Geometridae;Synchlora;Synchlora cupedinaria
Arthropoda;Insecta;Lepidoptera;Sphingidae;Erinnyis;Erinnyis ello
Arthropoda;Insecta;Lepidoptera;Noctuidae;Diphthera;Diphthera festiva
Chordata;Reptilia;Squamata;Dactyloidae;Anolis;Anolis gingivinus
Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Borrichia;Borrichia frutescens
Tracheophyta;Liliopsida;Poales;Typhaceae;Typha;Typha domingensis
Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cosmos;Cosmos sulphureus
Tracheophyta;Magnoliopsida;Caryophyllales;Aizoaceae;Sesuvium;Sesuvium portulacastrum
Tracheophyta;Magnoliopsida;Sapindales;Rutaceae;Triphasia;Triphasia trifolia
Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Dolichandra;Dolichandra unguis-cati
Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Emilia;Emilia fosbergii
Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia thymifolia
Tracheophyta;Magnoliopsida;Caryophyllales;Phytolaccaceae;Petiveria;Petiveria alliacea
Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;Myrcia splendens
Tracheophyta;Polypodiopsida;Polypodiales;Polypodiaceae;Microgramma;Microgramma heterophylla
Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea;Aechmea lingulata
Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Spermacoce;Spermacoce remota
Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Cryptostegia;Cryptostegia madagascariensis
Tracheophyta;Magnoliopsida;Fagales;Casuarinaceae;Casuarina;Casuarina equisetifolia
Tracheophyta;Liliopsida;Arecales;Arecaceae;Bismarckia;Bismarckia nobilis
Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Delonix;Delonix regia
Tracheophyta;Magnoliopsida;Myrtales;Combretaceae;Terminalia;Terminalia catappa
Tracheophyta;Magnoliopsida;Brassicales;Capparaceae;Quadrella;Quadrella indica
Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;Vigna luteola
Tracheophyta;Liliopsida;Poales;Cyperaceae;Cyperus;Cyperus ligularis
Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Oeceoclades;Oeceoclades maculata
Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Coccoloba uvifera
Tracheophyta;Liliopsida;Poales;Poaceae;Chloris;Chloris barbata
Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Tridax;Tridax procumbens
Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;Myrcia guianensis
Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Ceiba;Ceiba pentandra
Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Macroptilium;Macroptilium atropurpureum
Chordata;Aves;Suliformes;Fregatidae;Fregata;Fregata magnificens
Chordata;Aves;Charadriiformes;Laridae;Thalasseus;Thalasseus maximus
Chordata;Aves;Passeriformes;Coerebidae;Coereba;Coereba flaveola
Chordata;Aves;Columbiformes;Columbidae;Zenaida;Zenaida aurita
Chordata;Aves;Charadriiformes;Laridae;Leucophaeus;Leucophaeus atricilla
Chordata;Mammalia;Primates;Cercopithecidae;Chlorocebus;Chlorocebus sabaeus
Chordata;Aves;Passeriformes;Thraupidae;Tiaris;Tiaris bicolor
Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio demoleus
Arthropoda;Insecta;Lepidoptera;Nymphalidae;Danaus;Danaus plexippus
Chordata;Aves;Falconiformes;Falconidae;Falco;Falco sparverius
Chordata;Aves;Charadriiformes;Laridae;Thalasseus;Thalasseus acuflavidus
Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus occidentalis
Chordata;Aves;Anseriformes;Anatidae;Oxyura;Oxyura jamaicensis
Chordata;Aves;Pelecaniformes;Ardeidae;Egretta;Egretta thula
Mollusca;Gastropoda;Stylommatophora;Achatinidae;Lissachatina;Lissachatina fulica
Mollusca;Gastropoda;Stylommatophora;Zachrysiidae;Zachrysia;Zachrysia provisoria
Chordata;Aves;Charadriiformes;Recurvirostridae;Himantopus;Himantopus mexicanus
Chordata;Aves;Passeriformes;Tyrannidae;Tyrannus;Tyrannus dominicensis
Chordata;Aves;Anseriformes;Anatidae;Anas;Anas bahamensis
Mollusca;Gastropoda;Cycloneritida;Neritidae;Vitta;Vitta virginea
Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas
Chordata;Aves;Passeriformes;Thraupidae;Loxigilla;Loxigilla noctis
Mollusca;Gastropoda;Cycloneritida;Helicinidae;Helicina;Helicina fasciata
Arthropoda;Insecta;Hymenoptera;Eumenidae;Polistes;Polistes crinitus
Arthropoda;Insecta;Hemiptera;Rhopalidae;;
Chordata;Aves;Passeriformes;Passeridae;Passer;Passer domesticus
Chordata;Aves;Gruiformes;Rallidae;Gallinula;Gallinula chloropus
Chordata;Aves;Passeriformes;Icteridae;Quiscalus;Quiscalus lugubris
Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius semipalmatus
Chordata;Aves;Passeriformes;Parulidae;Setophaga;Setophaga petechia
Mollusca;Gastropoda;Stylommatophora;Bulimulidae;Bulimulus;Bulimulus guadalupensis
Chordata;Aves;Accipitriformes;Pandionidae;Pandion;Pandion haliaetus
Mollusca;Gastropoda;Stylommatophora;Urocoptidae;Macroceramus;Macroceramus signatus
Chordata;Aves;Pelecaniformes;Ardeidae;Bubulcus;Bubulcus ibis
Chordata;Aves;Passeriformes;Mimidae;Margarops;Margarops fuscatus
Chordata;Aves;Charadriiformes;Laridae;Sternula;Sternula antillarum
Chordata;Reptilia;Squamata;Iguanidae;Iguana;Iguana iguana
Chordata;Aves;Pelecaniformes;Ardeidae;Butorides;Butorides virescens
Chordata;Aves;Columbiformes;Columbidae;Columbina;Columbina passerina
Chordata;Aves;Pelecaniformes;Ardeidae;Ardea;Ardea alba
Mollusca;Gastropoda;Littorinimorpha;Littorinidae;Cenchritis;Cenchritis muricatus
Chordata;Aves;Suliformes;Sulidae;Sula;Sula leucogaster
Mollusca;Gastropoda;Littorinimorpha;Ovulidae;Cyphoma;Cyphoma gibbosum
Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius vociferus
Arthropoda;Insecta;Lepidoptera;Nymphalidae;Agraulis;Agraulis vanillae
Chordata;Aves;Podicipediformes;Podicipedidae;Podilymbus;Podilymbus podiceps
Chordata;Aves;Columbiformes;Columbidae;Streptopelia;Streptopelia decaocto
Chordata;Aves;Gruiformes;Rallidae;Fulica;Fulica americana
Chordata;Aves;Apodiformes;Trochilidae;Orthorhyncus;Orthorhyncus cristatus
Chordata;Aves;Pelecaniformes;Ardeidae;Egretta;Egretta tricolor
Mollusca;Gastropoda;Stylommatophora;Streptaxidae;Gulella;Gulella bicolor
Mollusca;Gastropoda;;Thiaridae;Melanoides;Melanoides tuberculata
Mollusca;Gastropoda;;;;
Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopa;
Mollusca;Gastropoda;Stylommatophora;Bulimulidae;Drymaeus;Drymaeus elongatus
Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera
Tracheophyta;Liliopsida;Zingiberales;Heliconiaceae;Heliconia;Heliconia psittacorum
Chordata;Reptilia;Testudines;Testudinidae;Chelonoidis;Chelonoidis carbonarius
Arthropoda;Arachnida;Araneae;Salticidae;Menemerus;Menemerus bivittatus
Mollusca;Polyplacophora;Chitonida;Chitonidae;Acanthopleura;Acanthopleura granulata
Chordata;Reptilia;Squamata;Teiidae;Pholidoscelis;Pholidoscelis plei
Chordata;Aves;Charadriiformes;Scolopacidae;Arenaria;Arenaria interpres
Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium hirsutum
Arthropoda;Malacostraca;Decapoda;Plagusiidae;Plagusia;Plagusia depressa
Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;Gorgonia;Gorgonia ventalina
Tracheophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum bahamense
Rhodophyta;Florideophyceae;Gracilariales;Gracilariaceae;Gracilaria;
Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Sargassum filipendula
Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Grateloupia;Grateloupia filicina
Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyota;Dictyota guineensis
